Scholarship Name,Amount Rewarded,Deadline,Disbursement Date,Required Info,Preferred Major(s)
Scholarship 1,5000,2023-12-31,2023-02-15,Transcripts,Computer Science
Scholarship 2,3000,2023-11-30,2023-01-10,Recommendation Letters,Business Administration
Scholarship 3,8000,2024-01-15,2023-03-01,Research Proposal,Science/Technology/Engineering/Mathematics
Scholarship 4,2500,2023-12-15,2023-02-01,Portfolio,Art/Music/Theater
Scholarship 5,4000,2024-02-28,2023-04-15,Volunteer Record,Social Work/Sociology
Scholarship 6,6000,2023-11-15,2023-01-01,Essay,Engineering
Scholarship 7,3500,2024-03-15,2023-05-01,International Experience,Global Studies/International Relations
Scholarship 8,5000,2023-12-31,2023-02-15,Transcripts,Computer Science
Scholarship 9,3000,2023-11-30,2023-01-10,Recommendation Letters,Business Administration
Scholarship 10,8000,2024-01-15,2023-03-01,Research Proposal,Science/Technology/Engineering/Mathematics
Scholarship 11,5000,2023-12-31,2023-02-15,Transcripts,Computer Science
Scholarship 12,3000,2023-11-30,2023-01-10,Recommendation Letters,Business Administration
Scholarship 13,8000,2024-01-15,2023-03-01,Research Proposal,Science/Technology/Engineering/Mathematics
Scholarship 14,2500,2023-12-15,2023-02-01,Portfolio,Art/Music/Theater
Scholarship 15,4000,2024-02-28,2023-04-15,Volunteer Record,Social Work/Sociology
Scholarship 16,6000,2023-11-15,2023-01-01,Essay,Engineering
Scholarship 17,3500,2024-03-15,2023-05-01,International Experience,Global Studies/International Relations
Scholarship 18,5000,2023-12-31,2023-02-15,Transcripts,Computer Science
Scholarship 19,3000,2023-11-30,2023-01-10,Recommendation Letters,Business Administration
Scholarship 20,8000,2024-01-15,2023-03-01,Research Proposal,Science/Technology/Engineering/Mathematics
Scholarship 21,5000,2023-12-31,2023-02-15,Transcripts,Computer Science
Scholarship 22,3000,2023-11-30,2023-01-10,Recommendation Letters,Business Administration
Scholarship 23,8000,2024-01-15,2023-03-01,Research Proposal,Science/Technology/Engineering/Mathematics
Scholarship 24,2500,2023-12-15,2023-02-01,Portfolio,Art/Music/Theater
Scholarship 25,4000,2024-02-28,2023-04-15,Volunteer Record,Social Work/Sociology
Scholarship 26,6000,2023-11-15,2023-01-01,Essay,Engineering
Scholarship 27,3500,2024-03-15,2023-05-01,International Experience,Global Studies/International Relations
Scholarship 28,5000,2023-12-31,2023-02-15,Transcripts,Computer Science
Scholarship 29,3000,2023-11-30,2023-01-10,Recommendation Letters,Business Administration
Scholarship 30,8000,2024-01-15,2023-03-01,Research Proposal,Science/Technology/Engineering/Mathematics
Scholarship 31,5000,2023-12-31,2023-02-15,Transcripts,Computer Science
Scholarship 32,3000,2023-11-30,2023-01-10,Recommendation Letters,Business Administration
Scholarship 33,8000,2024-01-15,2023-03-01,Research Proposal,Science/Technology/Engineering/Mathematics
Scholarship 34,2500,2023-12-15,2023-02-01,Portfolio,Art/Music/Theater
Scholarship 35,4000,2024-02-28,2023-04-15,Volunteer Record,Social Work/Sociology
Scholarship 36,6000,2023-11-15,2023-01-01,Essay,Engineering
Scholarship 37,3500,2024-03-15,2023-05-01,International Experience,Global Studies/International Relations
Scholarship 38,5000,2023-12-31,2023-02-15,Transcripts,Computer Science
