Scholarship name, Amount
Merit Excellence Scholarship,5000
Community Leadership Award,2500
Diversity in Technology Scholarship,4000
Future Business Leaders Grant,4500
Global Citizen Scholarship,6000
Health Sciences Achievement Award,3200
Digital Marketing Excellence Scholarship,3500
Public Service Commitment Grant,4000
International Relations Excellence Award,5000
Veterans Education Support Grant,3000
Social Justice Advocate Scholarship,4500
Robotics and Automation Scholarship,3800
Data Science Pioneer Award,4200
Renewable Energy Leadership Scholarship,3200
Aviation and Aerospace Excellence Scholarship,3500
